#nrNodes nrCollisions nrTransmissions OverallEnergy
500 0 979 170.44035993600002
500 0 1059 184.36807065600001
500 0 1057 184.01987788800002
500 0 1065 185.41264896
1000 0 2034 354.11204505600006
1000 0 2007 349.411442688
1000 0 1998 347.84457523200007
1000 0 1960 341.22891264000003
1000 0 2047 356.37529804800005
1000 0 2000 348.19276800000006
500 0 1027 178.79698636800003
500 0 1053 183.32349235200002
1000 0 1964 341.92529817600007
1000 0 1971 343.14397286400003
1000 0 1903 331.30541875200004
1000 0 2058 358.290358272
2000 0 3951 687.8548131840001
2000 0 3937 685.4174638080001
2000 0 3872 674.1011988480001
2000 0 3988 694.2963793920001
2000 0 3879 675.3198735360002
2000 0 4065 707.70180096
2000 0 4078 709.9650539520002
2000 0 3959 689.2475842560001
2000 0 4028 701.2602347520001
2000 0 4002 696.7337287680001
5000 2621 10007 1742.1825146880003
3000 0 6002 1044.926496768
3000 0 6114 1064.4252917760002
3000 0 6053 1053.805412352
3000 0 6066 1056.068665344
3000 0 6111 1063.903002624
3000 0 6075 1057.6355328
3000 0 5990 1042.8373401600002
3000 0 6023 1048.5825208320002
3000 0 5973 1039.877701632
3000 0 6088 1059.8987857920001
5000 2570 9910 1725.2951654400003
5000 2572 9881 1720.246370304
5000 2762 10127 1763.0740807680002
5000 2690 10026 1745.4903459840002
5000 2690 10114 1760.8108277760002
5000 2539 9938 1730.1698641920002
4000 0 8090 1408.4397465600002
4000 0 7915 1377.9728793600002
4000 0 8023 1396.7752888320003
4000 0 7977 1388.7668551680001
4000 0 8014 1395.2084213760002
4000 0 7893 1374.142758912
4000 0 7937 1381.802999808
4000 0 8009 1394.3379394560002
4000 0 7958 1385.4590238720002
4000 0 8038 1399.3867345920003
5000 0 10050 1749.6686592000003
5000 0 10199 1775.609020416
5000 0 10239 1782.5728757760003
5000 0 10060 1751.4096230400003
5000 0 10066 1752.454201344
5000 0 9992 1739.5710689280002
5000 0 9867 1717.809020928
5000 0 9958 1733.6517918720003
5000 0 10156 1768.1228759040002
5000 0 10135 1764.4668518400001
500 80 1668 290.39276851200003
500 84 1768 307.80240691200004
500 57 1625 282.9066240000001
500 69 1561 271.764455424
500 76 1703 296.486141952
500 44 1589 276.63915417600003
500 85 1699 295.789756416
500 78 1649 287.084937216
500 63 1607 279.77288908800006
500 46 1537 267.586142208
1000 253 3357 584.4415610880001
1000 234 3414 594.3650549760001
1000 258 3362 585.312043008
1000 274 3326 579.044573184
1000 312 3447 600.1102356480001
1000 250 3378 588.0975851520001
1000 244 3348 582.8746936320001
1000 265 3265 568.4246937600001
1000 234 3244 564.7686696960001
1000 238 3420 595.4096332800001
2000 972 6552 1140.6795079680003
2000 985 6628 1153.9108331520001
2000 939 6611 1150.951194624
2000 1030 6859 1194.127097856
2000 943 6731 1171.8427607040003
2000 1067 6976 1214.4963747840002
2000 970 6604 1149.732519936
2000 970 6738 1173.0614353920002
2000 936 6594 1147.9915560960003
2000 950 6771 1178.806616064
3000 2146 10116 1761.1590205440002
3000 2287 10223 1779.7873336320001
3000 2133 9972 1736.089141248
3000 2214 10220 1779.2650444800004
3000 2114 9851 1715.0234787840002
3000 2073 9866 1717.6349245440001
3000 2077 9984 1738.1782978560002
3000 2063 9885 1720.9427558400002
3000 2017 10063 1751.9319121920003
3000 2078 10078 1754.5433579520002
4000 3666 13284 2312.696365056
4000 3706 13555 2359.8764851200003
4000 3421 13118 2283.7963653120005
4000 3767 13280 2311.9999795200006
4000 3697 13405 2333.7620275200006
4000 3742 13419 2336.1993768960006
4000 3603 13364 2326.6240757760006
4000 3844 13605 2368.58130432
4000 3613 13368 2327.320461312
4000 3634 13408 2334.2843166720004
500 39 1049 182.627106816
500 36 959 166.958432256
500 36 991 172.52951654400002
500 33 1008 175.48915507200002
500 23 1058 184.19397427200002
500 26 1022 177.926504448
500 32 985 171.48493824000002
500 26 1030 179.31927552000002
500 36 1016 176.88192614400003
500 34 1073 186.80542003200003
1000 128 1968 342.621683712
1000 133 2063 359.160840192
1000 146 2099 365.428310016
1000 136 1969 342.79578009600004
1000 113 2021 351.84879206400007
1000 142 1962 341.5771054080001
1000 126 1987 345.929515008
1000 145 2039 354.9825269760001
1000 86 1951 339.662045184
1000 104 1984 345.4072258560001
2000 445 3875 674.6234880000001
2000 471 4039 703.175294976
2000 498 3951 687.8548131840001
2000 472 3974 691.859030016
2000 435 3936 685.243367424
2000 440 3933 684.7210782720001
2000 434 4036 702.6530058240002
2000 485 4075 709.4427648000001
2000 457 3940 685.9397529600001
2000 493 3974 691.859030016
3000 967 5907 1028.3873402880001
3000 985 6029 1049.6270991360002
3000 1048 6059 1054.849990656
3000 995 5994 1043.5337256960001
3000 924 5961 1037.788545024
3000 1143 6204 1080.0939663360002
3000 992 6083 1059.0283038720002
3000 994 5983 1041.6186654720002
3000 1108 6094 1060.943364096
3000 996 6074 1057.4614364160002
4000 1743 7974 1388.2445660160004
4000 1794 8050 1401.4758912000002
4000 1622 7917 1378.3210721280002
4000 1756 8188 1425.5011921920002
4000 1801 7986 1390.333722624
4000 1738 8041 1399.9090237440003
4000 1729 8104 1410.8770959360002
4000 1675 7954 1384.7626383360002
4000 1674 7929 1380.4102287360001
