Scenario,Config,Approach,Nodes,DER
1,SN3,Plain_LBT,5000,1.0
1,SN1,Classifier_LBT,4000,0.7345811598649893
1,SN1,Classifier_LBT,4000,0.7226408056695263
1,SN1,Classifier_LBT,4000,0.7293374445363616
1,SN1,Classifier_LBT,4000,0.7262365911799762
1,SN3,Classifier_LBT,500,0.9987937273823885
1,SN3,Classifier_LBT,500,1.0
1,SN3,Classifier_LBT,500,0.9977037887485649
1,SN3,Classifier_LBT,500,0.9976415094339622
1,SN3,Classifier_LBT,500,0.9963481436396835
1,SN3,Classifier_LBT,500,0.9977413890457368
1,SN3,Classifier_LBT,500,1.0
1,SN3,Classifier_LBT,500,0.9988636363636364
1,SN3,Classifier_LBT,500,0.9964349376114082
1,SN3,Classifier_LBT,500,0.9951923076923077
1,SN3,Classifier_LBT,1000,0.9964007198560288
1,SN3,Classifier_LBT,1000,0.9958543085578916
1,SN3,Classifier_LBT,1000,0.9977259806708357
1,SN3,Classifier_LBT,1000,0.9963224026969046
1,SN3,Classifier_LBT,1000,0.9982153480071386
1,SN3,Classifier_LBT,1000,0.9976338361431529
1,SN3,Classifier_LBT,1000,0.9940191387559809
1,SN3,Classifier_LBT,1000,0.9981884057971014
1,SN3,Classifier_LBT,1000,0.9950875038378876
1,SN3,Classifier_LBT,1000,0.996307867083215
1,SN3,Classifier_LBT,2000,0.9948477041976057
1,SN3,Classifier_LBT,2000,0.9936286857312194
1,SN3,Classifier_LBT,2000,0.9934954313148521
1,SN3,Classifier_LBT,2000,0.9945305378304466
1,SN3,Classifier_LBT,2000,0.993841642228739
1,SN3,Classifier_LBT,2000,0.9950420673076923
1,SN3,Classifier_LBT,2000,0.9958008398320336
1,SN3,Classifier_LBT,2000,0.9931476240131089
1,SN3,Classifier_LBT,2000,0.9959213401310998
1,SN3,Classifier_LBT,2000,0.9938262531236219
1,SN3,Classifier_LBT,3000,0.9898284802552852
1,SN3,Classifier_LBT,3000,0.9887798036465638
1,SN3,Classifier_LBT,3000,0.9928035982008996
1,SN3,Classifier_LBT,3000,0.9849394625455261
1,SN3,Classifier_LBT,3000,0.9895843666302946
1,SN3,Classifier_LBT,3000,0.9921737429074545
1,SN3,Classifier_LBT,3000,0.9898668786012319
1,SN3,Classifier_LBT,3000,0.9910643367752184
2,SN1,ALOHA,500,0.9587020648967551
2,SN1,ALOHA,500,0.9685598377281948
2,SN1,ALOHA,500,0.9595959595959596
2,SN1,ALOHA,500,0.9545023696682464
2,SN1,ALOHA,500,0.9760239760239761
2,SN1,ALOHA,500,0.9730769230769231
2,SN1,ALOHA,500,0.9734345351043643
1,SN3,Classifier_LBT,3000,0.9921221073362876
2,SN1,ALOHA,500,0.9727767695099818
2,SN1,ALOHA,500,0.9680511182108626
2,SN1,ALOHA,500,0.9596153846153846
2,SN1,ALOHA,1000,0.9422110552763819
2,SN1,ALOHA,1000,0.9402610441767069
2,SN1,ALOHA,1000,0.930784123910939
2,SN1,ALOHA,1000,0.9450766947055913
2,SN1,ALOHA,1000,0.9378134403209629
2,SN1,ALOHA,1000,0.9454638124362895
2,SN1,ALOHA,1000,0.9376237623762376
2,SN1,ALOHA,1000,0.9402092675635276
2,SN1,ALOHA,1000,0.9335347432024169
2,SN1,ALOHA,1000,0.9331381161542216
2,SN1,ALOHA,2000,0.8953488372093024
2,SN1,ALOHA,2000,0.8788621873467386
2,SN1,ALOHA,2000,0.8743429286608261
2,SN1,ALOHA,2000,0.8931869228849514
2,SN1,ALOHA,2000,0.880192502532928
2,SN1,ALOHA,2000,0.8876066231811339
2,SN1,ALOHA,2000,0.8914172644076181
2,SN1,ALOHA,2000,0.8860727728983688
2,SN1,ALOHA,2000,0.8795709410043882
2,SN1,ALOHA,2000,0.876746506986028
2,SN1,ALOHA,3000,0.8320933378424078
2,SN1,ALOHA,3000,0.8208319685555192
2,SN1,ALOHA,3000,0.8409461663947798
2,SN1,ALOHA,3000,0.837874201143626
1,SN3,Classifier_LBT,3000,0.9903923138510808
2,SN1,ALOHA,3000,0.8323756361845346
2,SN1,ALOHA,3000,0.8377703826955075
2,SN1,ALOHA,3000,0.8251690582220023
2,SN1,ALOHA,3000,0.8337260181756985
2,SN1,ALOHA,3000,0.8348484848484848
2,SN1,ALOHA,3000,0.8208490411407966
2,SN1,ALOHA,4000,0.7885800528235442
2,SN1,ALOHA,4000,0.7806591722023505
2,SN1,ALOHA,4000,0.7783683559950556
2,SN1,ALOHA,4000,0.7700765999505806
2,SN1,ALOHA,4000,0.7849248727182416
2,SN1,ALOHA,4000,0.7838645418326693
2,SN1,ALOHA,4000,0.7812265331664581
2,SN1,ALOHA,4000,0.7818693418155126
2,SN1,ALOHA,4000,0.7928508273335859
2,SN1,ALOHA,4000,0.7770951093634799
1,SN3,Classifier_LBT,4000,0.9875598825529285
2,SN1,ALOHA,5000,0.7280397022332507
2,SN1,ALOHA,5000,0.7294567562267111
1,SN3,Classifier_LBT,4000,0.9857587894971073
2,SN1,ALOHA,5000,0.7333135274311745
1,SN3,Classifier_LBT,4000,0.9886230182031709
1,SN3,Classifier_LBT,4000,0.9856488549618321
1,SN3,Classifier_LBT,4000,0.9886561294713756
2,SN1,Plain_LBT,500,1.0
2,SN1,Plain_LBT,500,1.0
1,SN3,Classifier_LBT,4000,0.9896098071460607
2,SN1,Plain_LBT,500,1.0
2,SN1,Plain_LBT,500,1.0
2,SN1,Plain_LBT,500,1.0
2,SN1,Plain_LBT,500,1.0
2,SN1,Plain_LBT,500,1.0
2,SN1,Plain_LBT,500,1.0
1,SN3,Classifier_LBT,4000,0.9890384033867554
1,SN3,Classifier_LBT,4000,0.9884006245817533
2,SN1,Plain_LBT,1000,1.0
2,SN1,Plain_LBT,1000,0.9995017438963627
2,SN1,Plain_LBT,1000,1.0
2,SN1,Plain_LBT,1000,1.0
2,SN1,Plain_LBT,1000,1.0
2,SN1,Plain_LBT,1000,1.0
2,SN1,Plain_LBT,500,1.0
2,SN1,Plain_LBT,500,1.0
2,SN1,Plain_LBT,1000,1.0
2,SN1,Plain_LBT,1000,1.0
2,SN1,Plain_LBT,1000,1.0
2,SN1,Plain_LBT,1000,1.0
2,SN1,Plain_LBT,2000,1.0
2,SN1,Plain_LBT,2000,1.0
2,SN1,Plain_LBT,2000,1.0
2,SN1,Plain_LBT,2000,1.0
1,SN3,Classifier_LBT,4000,0.9861203396087117
2,SN1,Plain_LBT,2000,1.0
2,SN1,Plain_LBT,2000,1.0
2,SN1,Plain_LBT,2000,1.0
2,SN1,Plain_LBT,2000,1.0
2,SN1,Plain_LBT,2000,1.0
2,SN1,Plain_LBT,2000,1.0
2,SN1,ALOHA,5000,0.7379834116118716
2,SN1,Plain_LBT,3000,0.9998333888703765
2,SN1,Plain_LBT,3000,1.0
2,SN1,Plain_LBT,3000,1.0
2,SN1,Plain_LBT,3000,1.0
2,SN1,Plain_LBT,3000,1.0
2,SN1,Plain_LBT,3000,1.0
2,SN1,Plain_LBT,3000,1.0
2,SN1,Plain_LBT,3000,1.0
2,SN1,Plain_LBT,3000,1.0
2,SN1,Plain_LBT,3000,1.0
2,SN1,ALOHA,5000,0.7406659939455096
2,SN1,ALOHA,5000,0.7397024592652566
2,SN1,ALOHA,5000,0.7271650044435667
2,SN1,ALOHA,5000,0.7316975862756833
2,SN1,ALOHA,5000,0.7340320348032431
2,SN1,ALOHA,5000,0.7445159991950091
2,SN1,Plain_LBT,4000,1.0
2,SN1,Plain_LBT,4000,1.0
1,SN3,Classifier_LBT,4000,0.9859226841721371
2,SN1,Plain_LBT,4000,1.0
2,SN1,Plain_LBT,4000,1.0
2,SN1,Plain_LBT,4000,0.9998733054605347
2,SN1,Plain_LBT,4000,0.9998752183678562
2,SN1,Plain_LBT,4000,1.0
2,SN1,Plain_LBT,4000,0.9998740078115157
2,SN1,Plain_LBT,4000,1.0
2,SN1,Plain_LBT,4000,1.0
2,SN1,Plain_LBT,5000,1.0
2,SN1,Plain_LBT,5000,1.0
2,SN1,Plain_LBT,5000,0.9999023342123254
2,SN1,Plain_LBT,5000,1.0
2,SN1,Plain_LBT,5000,1.0
2,SN1,Plain_LBT,5000,0.9998999199359487
2,SN1,Plain_LBT,5000,1.0
2,SN1,Plain_LBT,5000,1.0
2,SN1,Plain_LBT,5000,1.0
2,SN1,Plain_LBT,5000,1.0
2,SN1,Classifier_LBT,500,0.9520383693045563
2,SN1,Classifier_LBT,500,0.9524886877828054
2,SN1,Classifier_LBT,500,0.9649230769230769
2,SN1,Classifier_LBT,500,0.9557975656630365
2,SN1,Classifier_LBT,500,0.9553728714034058
2,SN1,Classifier_LBT,500,0.9723096286972939
2,SN1,Classifier_LBT,500,0.949970570924073
2,SN1,Classifier_LBT,500,0.9526986052152819
2,SN1,Classifier_LBT,500,0.9607965152457997
2,SN1,Classifier_LBT,500,0.9700715679895902
2,SN1,Classifier_LBT,1000,0.92463509085493
2,SN1,Classifier_LBT,1000,0.9314586994727593
2,SN1,Classifier_LBT,1000,0.9232599643069601
2,SN1,Classifier_LBT,1000,0.9176187612748046
2,SN1,Classifier_LBT,1000,0.9094865100087032
2,SN1,Classifier_LBT,1000,0.92599171107164
2,SN1,Classifier_LBT,1000,0.927120669056153
2,SN1,Classifier_LBT,1000,0.9188361408882083
2,SN1,Classifier_LBT,1000,0.9278668310727497
2,SN1,Classifier_LBT,1000,0.9304093567251462
2,SN1,Classifier_LBT,2000,0.8516483516483516
2,SN1,Classifier_LBT,2000,0.8513880506940253
2,SN1,Classifier_LBT,2000,0.8579639993949478
2,SN1,Classifier_LBT,2000,0.8496865432278757
2,SN1,Classifier_LBT,2000,0.8599019462189867
2,SN1,Classifier_LBT,2000,0.8470470183486238
2,SN1,Classifier_LBT,2000,0.8531193216232587
2,SN1,Classifier_LBT,2000,0.8560403680617394
2,SN1,Classifier_LBT,2000,0.8580527752502275
2,SN1,Classifier_LBT,2000,0.8596957613351056
2,SN1,Classifier_LBT,3000,0.7861010830324909
2,SN1,Classifier_LBT,3000,0.776190941993544
2,SN1,Classifier_LBT,3000,0.7833659491193737
2,SN1,Classifier_LBT,3000,0.787860814551206
2,SN1,Classifier_LBT,3000,0.7854024972084053
2,SN1,Classifier_LBT,3000,0.7898844516521386
2,SN1,Classifier_LBT,3000,0.7919671474358975
2,SN1,Classifier_LBT,3000,0.7912999494183106
2,SN3,ALOHA,500,0.9980988593155894
2,SN3,ALOHA,500,1.0
2,SN1,Classifier_LBT,3000,0.7995627546457319
2,SN3,ALOHA,500,1.0
2,SN3,ALOHA,500,1.0
2,SN3,ALOHA,500,1.0
2,SN3,ALOHA,500,0.9959839357429718
2,SN3,ALOHA,500,1.0
2,SN3,ALOHA,500,0.9959636730575177
2,SN3,ALOHA,500,1.0
2,SN3,ALOHA,500,0.998
2,SN3,ALOHA,1000,0.9979959919839679
2,SN3,ALOHA,1000,0.9967845659163987
2,SN3,ALOHA,1000,0.9980506822612085
2,SN3,ALOHA,1000,0.9922216820612543
2,SN3,ALOHA,1000,0.9969418960244648
2,SN1,Classifier_LBT,3000,0.7938082952966858
2,SN3,ALOHA,1000,0.9958093242535359
2,SN3,ALOHA,1000,0.9950099800399201
2,SN3,ALOHA,1000,0.9969527679024885
2,SN3,ALOHA,1000,0.997090203685742
2,SN3,ALOHA,1000,0.9970501474926253
2,SN3,ALOHA,2000,0.9964938642624593
2,SN3,ALOHA,2000,0.9950956351152526
2,SN3,ALOHA,2000,0.9974339235309212
2,SN3,ALOHA,2000,0.9959626545546303
2,SN3,ALOHA,2000,0.9950592885375494
2,SN3,ALOHA,2000,0.9970731707317073
2,SN3,ALOHA,2000,0.9959328927300457
2,SN3,ALOHA,2000,0.9950884086444007
2,SN3,ALOHA,2000,0.9938822329849605
2,SN3,ALOHA,2000,0.9964331210191083
2,SN3,ALOHA,3000,0.9920398009950249
2,SN3,ALOHA,3000,0.9916902110686389
2,SN3,ALOHA,3000,0.9916897506925207
2,SN3,ALOHA,3000,0.9925481937469626
2,SN3,ALOHA,3000,0.9930624380574826
2,SN3,ALOHA,3000,0.992552471225457
2,SN3,ALOHA,3000,0.9898785425101214
2,SN3,ALOHA,3000,0.9959445758702264
2,SN3,ALOHA,3000,0.9953917050691244
2,SN3,ALOHA,3000,0.9907438016528926
2,SN3,ALOHA,4000,0.9894947473736868
2,SN3,ALOHA,4000,0.9908408599414833
2,SN3,ALOHA,4000,0.9909954977488744
2,SN3,ALOHA,4000,0.9925196359556165
2,SN3,ALOHA,4000,0.9915695512025787
2,SN3,ALOHA,4000,0.9887404107894086
2,SN3,ALOHA,4000,0.9877571008814887
2,SN3,ALOHA,4000,0.9911034227109848
2,SN3,ALOHA,4000,0.9911849892960585
2,SN3,ALOHA,4000,0.9905035611645633
2,SN1,Classifier_LBT,4000,0.7240289069557362
2,SN1,Classifier_LBT,4000,0.7265215787532275
2,SN1,Classifier_LBT,4000,0.7392132947095594
2,SN3,ALOHA,5000,0.9861427298822132
2,SN3,ALOHA,5000,0.983737403970867
2,SN3,ALOHA,5000,0.9866084713818074
2,SN3,ALOHA,5000,0.9884060893235205
2,SN3,ALOHA,5000,0.990983606557377
2,SN3,ALOHA,5000,0.9866868381240544
2,SN3,Plain_LBT,500,1.0
2,SN3,Plain_LBT,500,1.0
2,SN3,Plain_LBT,500,1.0
2,SN3,Plain_LBT,500,1.0
2,SN3,Plain_LBT,500,1.0
2,SN3,Plain_LBT,500,1.0
2,SN3,Plain_LBT,500,1.0
2,SN3,Plain_LBT,500,1.0
2,SN3,Plain_LBT,500,1.0
2,SN3,Plain_LBT,500,1.0
2,SN3,Plain_LBT,1000,1.0
2,SN3,Plain_LBT,1000,1.0
2,SN3,ALOHA,5000,0.986175580221998
2,SN3,Plain_LBT,1000,1.0
2,SN3,Plain_LBT,1000,1.0
2,SN3,Plain_LBT,1000,1.0
2,SN3,Plain_LBT,1000,1.0
2,SN3,Plain_LBT,1000,1.0
2,SN3,Plain_LBT,1000,1.0
2,SN3,Plain_LBT,1000,0.9994855967078189
2,SN3,Plain_LBT,1000,1.0
2,SN3,Plain_LBT,2000,1.0
2,SN3,Plain_LBT,2000,1.0
2,SN3,Plain_LBT,2000,1.0
2,SN3,Plain_LBT,2000,1.0
2,SN3,ALOHA,5000,0.9880857028434121
